Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
CHI '07,Context &amp; usability testing: user-modeled information presentation in easy and difficult driving conditions,10.1145/1240624.1240827,Automotive User Interfaces,"The wizard used a database-driven Web interface to generate natural language responses with either the SR or the UMSR approach, and copied the textual output to the speech synthesizer.","Communication Control, System Logic Simulation Control, Pre-scripted Content Control","An enhanced Wizard-of-Oz experiment was conducted to compare two different approaches to presenting information to drivers in easy and difficult driving conditions.","Benchmark, Controlling Confounds","A critical flaw with our current UMSR simulation.",Ecological Validity,Design,"The core goal is to design and evaluate in-vehicle information presentation; WoZ is used to compare two interaction strategies in real driving contexts and derive insights about information organization, dialogue strategy, and contextual adaptation.",Not specified,,,,
CHI '06,Design and experimental analysis of continuous location tracking techniques for Wizard of Oz testing,10.1145/1124772.1124924,HCI Methods & Tools,"Continuous location tracking requires a wizard to frequently update a user's location.","Embodied & Environmental Action Control, System Logic Simulation Control","The goal is to relieve wizards from heavily-loaded location tracking tasks.","Technical Limitation, Cost-Efficiency","Continuous location tracking requires a wizard to frequently update a user's location, which imposes a heavy task load on a wizard.",Temporal and Performance Constraints,Design,"The core goal is to design more efficient interaction techniques for WoZ testing of location-enhanced applications; although the immediate focus is the wizard interface, the ultimate goal is to support more effective user testing and prototype evaluation.",Not specified,,,,
IUI '06,Enabling context-sensitive information seeking,10.1145/1111449.1111479,Work & Creativity Support,"Given a user's multimodal request, the wizard interprets the user's speech input and combines it with other inputs as needed. The wizard then uses a GUI to compose a command that drives the response creation.","Communication Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. We started with a Wizard-of-OZ study to verify the effectiveness of our envisioned system. 2. To observe realistic user interaction behaviors before creating a fully automated system, and to validate the functional requirements of context-sensitive information systems.","Technical Limitation, Psychological Realism",Not specified,Not specified,Design,"WoZ is not the end goal of the study but a design-research method or design-support tool for exploring user behavior, validating interaction strategies, and guiding system design.",Not specified,,,,
ICMI '06,From vocal to multimodal dialogue management,10.1145/1180995.1181008,Multimodal & Emerging Interaction Techniques,"When the system is running in the WOz mode, the dialogue system data flows are redirected to the wizard's control station and the wizard can check or modify them.","Communication Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. We have carried out a series of pilot Wizard of Oz experiments to see how users would react to and interact with the multimodal Archivus interface. 2. Another was to test the efficiency of the underlying dialogue strategy in a multimodal application.","Benchmark, Technical Limitation",Not specified,Not specified,Design,The core goal is to design a multimodal dialogue management system; WoZ is used to explore and validate multimodal interaction design before the technology is mature.,Not specified,,,,
MobileHCI '05,Providing support for mobile calendaring conversations: a wizard of oz evaluation of dual–purpose speech,10.1145/1085777.1085821,Mobile Ubiquitous & Wearable Computing,"A second researcher, known as the wizard, simulates the recognition and semantic processing of the participants' speech.","Communication Control, System Logic Simulation Control","1. We present a Wizard of Oz evaluation of dual-purpose speech. 2. The goal is to reduce the manual input needed to operate a PDA while engaged in a calendaring conversation.","Technical Limitation, Psychological Realism","The wizard took an average of 1.5s to complete an action once the participant released the push-to-talk button.",Temporal and Performance Constraints,Augmenting Capabilities,The core goal is to enhance multitasking in mobile situations by letting users manage a calendar while conversing with other people; the technical aim is to reduce manual input and improve efficiency.,Not specified,,,,
IDC '05,Development of an American Sign Language game for deaf children,10.1145/1109540.1109550,"Accessibility&Aging, Education&Learning","The keyboard input was controlled by the wizard behind a partition, and the interface output was split and routed to both the wizard and the child.","Communication Control, Pre-scripted Content Control, Wizard Collaboration & Mediation","1. By using a Wizard of Oz technique, we maximize progress in both of these areas. 2. The WOz method allowed us to efficiently gather data, track collection progress, and rapidly assess data quality.","Technical Limitation, Cost-Efficiency","1. The issue of interpreter variability proved to be problematic. 2. We found no clear criteria which could serve as metrics for allowing multiple interpreters and yet ensuring the accuracy of the phrases accepted as correct.",Wizard Variability and Bias,"Accessibility & Aging, Design","Wizard of Oz is used to support prototyping and interaction design for an ASL recognition system and game; researchers manually simulated sign-language recognition to collect data, test game mechanics, and refine the design.",Not specified,,,,
IUI '05,Experimental evaluation of polite interaction tactics for pedagogical agents,10.1145/1040830.1040845,Education&Learning,"To communicate with the student, the tutor selects an item in the student activity window, chooses from pedagogical goals, and generates an intervention that is sent to the Agent Window on the student interface.","Communication Control, Pre-scripted Content Control","We describe the results of a Wizard-of-Oz experiment to study the effect of politeness strategies on both cognitive and motivational factors.","Benchmark, Psychological Realism",Not specified,Not specified,Education,The core goal is to improve students' learning experience and motivation; the study evaluates different pedagogical-agent interaction tactics directly.,Not specified,,,,
CHI '05,A study on the manipulation of 2D objects in a projector/camera-based augmented reality environment,10.1145/1054972.1055056,XR/VR/AR,"The wizard sat behind the participant as a monitor, which displayed multiple live camera views of the simulated office, and this enabled the wizard to evoke convincing feedback in response to their interactions.",Embodied & Environmental Action Control,"This paper reports a study that takes a user-centered design approach to the problem of determining manipulation techniques for projector camera-based AR environments.","Psychological Realism, Adaptive Flexibility",Not specified,Not specified,Design,"The core goal is to design suitable 2D object-manipulation techniques for projector/camera-based AR environments; WoZ is used to explore user preferences, validate prototypes, and collect design insights.",Not specified,,,,
IDC '04,Wizard of Oz prototyping of computer vision based action games for children,10.1145/1017833.1017837,XR/VR/AR,"The prototypes were controlled entirely by mouse and keyboard, with a wizard who observes the users and controls the prototypes with a mouse and a keyboard.","Embodied & Environmental Action Control, System Logic Simulation Control","1. To find out whether perceptive action games could be prototyped and evaluated using a wizard that observes the children and controls the game using traditional input devices. 2. To discover what movements and gesture patterns emerge when children control the game prototypes without any instructions given.","Technical Limitation, Psychological Realism","WOz prototyping of perceptive action games is feasible despite the delay caused by the wizard.",Temporal and Performance Constraints,Design,"The core goal is to design interaction mechanisms for children's action games; WoZ is used as a user-centered prototyping method to explore behavior, test control strategies, and gather design feedback.",Not specified,,,,
UIST '04,Topiary: a tool for prototyping location-enhanced applications,10.1145/1029632.1029671,"HCI Methods & Tools, Mobile Ubiquitous & Wearable Computing","Topiary lets designers run these storyboards on mobile devices, with a wizard updating the location of people and things on a separate device.","Embodied & Environmental Action Control, Pre-scripted Content Control","1. It currently requires a high level of technical expertise to build location-enhanced applications, making it hard to iterate on designs. 2. It is hard for designers to prototype, evaluate, and iterate on designs. 3. Topiary is a tool for rapidly prototyping location-enhanced applications.","Technical Limitation, Cost-Efficiency, Adaptive Flexibility",Not specified,Not specified,Design,Wizard of Oz is used to simulate location information so designers can run storyboards and test location-triggered interactions; the work provides a prototyping tool for interaction designers.,Not specified,,,,
UIST '04,An optimization-based approach to dynamic data content selection in intelligent multimedia interfaces,10.1145/1029632.1029673,Work & Creativity Support,Not specified,Not specified,"Preliminary studies show that our method can handle most of the user situations identified in a Wizard-of-Oz study, and achieves results similar to those produced by human designers.","Benchmark, Technical Limitation",Not specified,Not specified,Design,Not specified,Not specified,,,,
CHI '03,Predicting human interruptibility with sensors: a Wizard of Oz feasibility study,10.1145/642611.642657,Mobile Ubiquitous & Wearable Computing,"We have chosen a Wizard of Oz approach that allows us to simulate a wide range of plausible sensors.",System Logic Simulation Control,"This paper presents a Wizard of Oz study exploring whether, and how, robust sensor-based predictions of interruptibility might be constructed, which sensors might be most useful to such predictions, and how simple such sensors might be.","Technical Limitation, Cost-Efficiency",Not specified,Not specified,Augmenting Capabilities,Wizard of Oz is used to simulate an intelligent interruption-management system in which a human judges whether the user is interruptible while sensor data are collected. The goal is to support future systems that reduce disruption and improve productivity.,Not specified,,,,
IUI '03,Inferring user goals from personality and behavior in a causal model of user affect,10.1145/604045.604078,Education&Learning,"In all the empirical studies described in the rest of the paper, the pedagogical agent was controlled by a researcher through a Wizard of Oz interface.","Communication Control, Pre-scripted Content Control","We iteratively defined the structure and parameters for this part of the model by using both empirical data collected through Wizard of Oz experiments and relevant psychological findings.","Technical Limitation, Alignment with Prior Work",Not specified,Not specified,Education,Not specified,Not specified,,,,
ICMI '03,Towards tangibility in gameplay: building a tangible affective interface for a computer game,10.1145/958432.958446,Multimodal & Emerging Interaction Techniques,"The user performs gestures and movements with SenToy, which are picked up by the sensors and interpreted according to a scheme found through an initial Wizard of Oz study.","Embodied & Environmental Action Control, System Logic Simulation Control","1. Given the novelty of this interaction, to build SenToy we began by investigating if users were able to express a set of emotions through a toy-like interface. 2. What kind of gestures would be the best ones to express anger or happiness?","Psychological Realism, Technical Limitation",Not specified,Not specified,Design,"Wizard of Oz is used to explore how users express emotions through a doll and to establish a gesture-emotion mapping, which informed the later design of the SenToy affective interface.",Not specified,,,,
ICMI '03,The role of spoken feedback in experiencing multimodal interfaces as human-like,10.1145/958432.958478,Multimodal & Emerging Interaction Techniques,"Two Wizards were needed to control the graphical output and the spoken feedback.","Communication Control, Wizard Collaboration & Mediation","The purpose of this study was to investigate if users of a multimodal timetable information system think of it as human-like or tool-like, and if spoken feedback influences this experience.","Benchmark, Psychological Realism",Not specified,Not specified,Design,Not specified,Not specified,,,,
ICMI '03,Toward a theory of organized multimodal integration patterns during human-computer interaction,10.1145/958432.958443,Multimodal & Emerging Interaction Techniques,"A novel simulation technique was developed for the present research that used two wizards, an Input Wizard and an Output Wizard, which worked autonomously in separate rooms.","Communication Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. The potential malleability of users' multimodal integration patterns is explored. 2. Using a new dual-wizard simulation method, data was collected from adults as they interacted with a map-based task using multimodal speech and pen input.","Benchmark, Controlling Confounds",Not specified,Not specified,Reliability & Validity of WoZ,"Wizard of Oz is used to simulate a multimodal system, and a dual-wizard setup is used to precisely control speech and pen input processing. The work not only studies patterns of human multimodal behavior but also demonstrates the feasibility and validity of high-fidelity WoZ in complex interactions.",Not specified,,,,
DIS '02,Using a Wizard of Oz study to inform the design of SenToy,10.1145/778712.778762,Education&Learning,"The gestures and movements performed by players on SenToy are interpreted and the inferred emotion or movement action is used to make the players' avatars change facial expression or move.","Embodied & Environmental Action Control, System Logic Simulation Control","A Wizard of Oz study was used early in the design process to find the best relationship between user movements of SenToy and the resulting affective expressions and movements of their avatar on the screen.","Psychological Realism, Technical Limitation",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
ICMI '02,Embarking on Multimodal Interface Design,10.1109/ICMI.2002.1167021,Multimodal & Emerging Interaction Techniques,"Wizard of Oz techniques are sometimes used to simulate an interactive application from these sketches.","Communication Control, Wizard Collaboration & Mediation","1. We studied the early stage work practices of professional multimodal interaction designers. 2. We propose prototyping techniques and tools that will allow designers to informally prototype multi-device, multimodal interaction.","Cost-Efficiency, Adaptive Flexibility",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
CHI '02,Physical programming: designing tools for children to create physical interactive environments,10.1145/503376.503430,"Education&Learning, Multimodal & Emerging Interaction Techniques","We developed a software application that allowed the wizard to define and group action-reaction rules on-the-fly as the children were using the technology.","Embodied & Environmental Action Control, System Logic Simulation Control","1. The goal of our research has been to develop programming tools for physical interactive environments that are appropriate for use by young children ages 4-6. 2. Recently we began focusing on a physical programming approach and developed a wizard-of-oz prototype for young children.","Technical Limitation, Adaptive Flexibility","Often the wizard could not track the many concurrent activities in the environment and react appropriately.",Temporal and Performance Constraints,Education,"Wizard of Oz is used to simulate a programmable physical environment for children, allowing researchers to test whether children understand action-reaction rules and can express themselves creatively.",Not specified,,,,
UIST '00,Suede: a Wizard of Oz prototyping tool for speech user interfaces,10.1145/354401.354406,Work & Creativity Support,"In Test mode, a wizard works in front of a computer screen and can choose among the available responses for the current state of the UI.","Communication Control, Pre-scripted Content Control","1. The technology expertise required to build speech UIs precludes many individuals from participating in the speech interface design process. 2. The time and knowledge costs of building even simple speech systems make it difficult for designers to iteratively design speech UIs.","Technical Limitation, Cost-Efficiency",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
CHI '93,Prototyping an intelligent agent through Wizard of Oz,10.1145/169059.169215,HCI Methods & Tools,"The user teaches it by demonstrating actions and pointing at or talking about relevant data.","Communication Control, System Logic Simulation Control","We decided to use a Wizard of Oz simulation to investigate these issues, involving end users up front, before making too many commitments in our design.","Technical Limitation, Cost-Efficiency","The chief danger in using a Wizard of Oz is ascribing to the Wizard powers which no real system could have.",Ecological Validity,Not specified,Not specified,Not specified,,,,
IUI '93,Wizard of Oz studies: why and how,10.1145/169891.169968,HCI Methods & Tools,"The simulation environment includes a response editor with canned texts and templates easily accessed through menus.","Communication Control, Pre-scripted Content Control","1. Empirical studies of this unique communication situation are required for the development of user-friendly interactive systems. 2. The Wizard of Oz technique seems to us to be the best available alternative.","Technical Limitation, Psychological Realism","1. Such simulations are very difficult to run. People are flexible, computers are rigid or consistent. 2. It is difficult for the Wizard to maintain a consistent performance.","Wizard Variability and Bias, Temporal and Performance Constraints",Not specified,Not specified,Not specified,,,,
CHI '93,A Wizard of Oz platform for the study of multimodal systems,10.1145/259964.260126,HCI Methods & Tools,"When the user invokes a function that is not available in the observed system, the wizard simulates the effect of the function.","Communication Control, System Logic Simulation Control, Wizard Collaboration & Mediation","The WOZ technique is an appropriate approach to the identification of sound design solutions.","Technical Limitation, Cost-Efficiency","1. Wizards' tasks, although apparently simple, are cognitively expensive. 2. The realism of the simulation requires wizards' actions to be consistent in content, style, and pace.","Temporal and Performance Constraints, Wizard Variability and Bias",Not specified,Not specified,Not specified,,,,
CHI '88,Justified advice: a semi-naturalistic study of advisory strategies,10.1145/57167.57198,"Health&Well-being, Work & Creativity Support","The wizard constructed natural language answers to the client's questions, and sent them to the client by typing them into a terminal connected to the client's workstation.","Communication Control, System Logic Simulation Control","Wizard of Oz techniques were used to observe the interaction between users of a statistical package and a human playing the role of a simulated intelligent advisory system.","Benchmark, Technical Limitation",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
CHI '18,Face Value? Exploring the Effects of Embodiment for a Group Facilitation Agent,10.1145/3173574.3173965,Work & Creativity Support,"The human wizard aimed to replace the first two components: speech recognition and intent understanding.","Communication Control, System Logic Simulation Control, Pre-scripted Content Control","1. ""Not only does it reduce development cost to make design choices, but also it is often necessary for experimental studies to control for noises from system performance variations."" 2. ""We used a constrained Wizard-of-Oz protocol with a small set of available intents, so that fully automatic systems can be built based on the protocol, and more importantly, the agent would exhibit a realistic level of intelligence to study user responses.""","Cost-Efficiency, Controlling Confounds",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
CHI '17,"Comparing Social Robot, Screen and Voice Interfaces for Smart-Home Control",10.1145/3025453.3025786,"HRI, Mobile Ubiquitous & Wearable Computing","During the experiment it was controlled using a Wizard-of-Oz (WoZ) desktop application. The prerecorded audio clips would be manually played in real time according to participants' actions and a WoZ script written in advance.","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control","""To dismiss potential technical problems in speech analysis and to ensure full comprehension of the participants' spoken language, we also used a WoZ method for feedback. This allowed us to focus on the user experience of a voice interface regardless of technical issues.""","Technical Limitation, Controlling Confounds",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
CSCW '22,Human-AI Collaboration for UX Evaluation: Effects of Explanation and Synchronization,10.1145/3512943,HCI Methods & Tools,"The WoZ AI would offer to UX evaluators AI-suggested problems and AI explanations to these problems.","Communication Control, System Logic Simulation Control, Pre-scripted Content Control","1. ""To overcome the technical limitations of AI in detecting UX problems, we opt for a hybrid Wizard-of-Oz (WoZ) approach in order to focus on evaluating different ways to present the AI's suggestions with a controlled experiment."" 2. ""Our approach simulates a reliably performing AI system but is grounded in the technical feasibility of ML technologies.""","Technical Limitation, Controlling Confounds",Not specified,Not specified,Not specified,Not specified,Not specified,,,,
DIS '18,Designing for Workplace Reflection: A Chat and Voice-Based Conversational Agent,10.1145/3196709.3196784,Work & Creativity Support,"personalized reflection questions with dynamic elements were created using a Wizard-of-Oz approach, with items from a participant's logs manually copied into a template.","Communication Control, Pre-scripted Content Control","1. ""Parsing a user's journal entry correctly into elements was beyond the scope of this study."" 2. ""while many current technical limitations exist, adding dedicated mobile voice interaction separate from the already busy chat modality may further enable users to step back and reflect on their work.""",Technical Limitation,Not specified,Not specified,Not specified,Not specified,Not specified,,,,
HRI '15,Mechanical Ottoman: How Robotic Furniture Offers and Withdraws Support,10.1145/2696454.2696461,HRI,"using a mix of pre-programmed actions and practice teleoperated behaviors and approaches, replicated some of the most promising maneuvers from the first phase to try out.","Embodied & Environmental Action Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,,,
